"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 25 10:08:48 IST 2024","Thu Jul 25 10:08:50 IST 2024","1763","","Demo Tests","","","","My First Test",""
"passed","Thu Jul 25 09:24:11 IST 2024","Thu Jul 25 09:24:15 IST 2024","4633","","My Login application","","","","should login with valid credentials",""
